Estação de origem,Data,tempo de viagem,diff_media_sec,diff_media_min
102 Sul,2018-08-05,1081.787037037037,-11.261429101431531,-0.19
102 Sul,2018-08-12,1103.6440677966102,10.595601658141732,0.18
102 Sul,2018-08-19,1207.7546012269938,114.70613508852534,1.91
102 Sul,2018-08-26,1013.3397435897435,-79.70872254872495,-1.33
102 Sul,2018-09-02,1000.6320754716982,-92.41639066677033,-1.54
Banco Central,2018-08-05,885.9052631578948,-207.14320298057373,-3.45
Banco Central,2018-08-12,988.6793893129772,-104.36907682549133,-1.74
Banco Central,2018-08-19,904.032,-189.01646613846845,-3.15
Banco Central,2018-08-26,1019.6585365853658,-73.38992955310266,-1.22
Banco Central,2018-09-02,992.6,-100.44846613846846,-1.67
Biblioteca Central,2018-08-05,1120.837837837838,27.78937169936944,0.46
Biblioteca Central,2018-08-12,1253.2686567164178,160.22019057794932,2.67
Biblioteca Central,2018-08-19,1109.2785714285715,16.230105290102983,0.27
Biblioteca Central,2018-08-26,1096.6011560693642,3.552689930895667,0.06
Biblioteca Central,2018-09-02,982.408,-110.64046613846847,-1.84
Brasil 21,2018-08-05,1915.2600422832982,822.2115761448297,13.7
Brasil 21,2018-08-12,1752.9905123339659,659.9420461954974,11.0
Brasil 21,2018-08-19,1908.6341991341992,815.5857329957307,13.59
Brasil 21,2018-08-26,1729.8295019157088,636.7810357772403,10.61
Brasil 21,2018-09-02,1667.3543689320388,574.3059027935703,9.57
Brasília Shopping,2018-08-05,1202.468253968254,109.41978782978549,1.82
Brasília Shopping,2018-08-12,1131.0171428571427,37.96867671867426,0.63
Brasília Shopping,2018-08-19,968.4,-124.6484661384685,-2.08
Brasília Shopping,2018-08-26,1068.3823529411766,-24.666113197291907,-0.41
Brasília Shopping,2018-09-02,1137.6911764705883,44.642710332119805,0.74
CLN 204,2018-08-05,1142.8362068965516,49.787740758083146,0.83
CLN 204,2018-08-12,1043.7303370786517,-49.31812905981678,-0.82
CLN 204,2018-08-19,1187.4679802955666,94.41951415709809,1.57
CLN 204,2018-08-26,881.6227272727273,-211.4257388657412,-3.52
CLN 204,2018-09-02,896.5308641975308,-196.51760194093765,-3.28
CLN 403,2018-08-05,1189.2739726027398,96.22550646427135,1.6
CLN 403,2018-08-12,1165.2893401015228,72.24087396305436,1.2
CLN 403,2018-08-19,1144.1572052401746,51.10873910170608,0.85
CLN 403,2018-08-26,1204.3576923076923,111.30922616922385,1.86
CLN 403,2018-09-02,972.4578947368421,-120.59057140162633,-2.01
CLN 406,2018-08-05,995.1529850746268,-97.89548106384166,-1.63
CLN 406,2018-08-12,876.9278606965174,-216.12060544195106,-3.6
CLN 406,2018-08-19,872.8799212598425,-220.168544878626,-3.67
CLN 406,2018-08-26,940.5376984126984,-152.51076772577005,-2.54
CLN 406,2018-09-02,766.6699266503667,-326.37853948810175,-5.44
CNMP - Conselho Nacional do Ministério Público,2018-08-05,870.0392156862745,-223.009250452194,-3.72
CNMP - Conselho Nacional do Ministério Público,2018-08-12,998.7978723404256,-94.25059379804293,-1.57
CNMP - Conselho Nacional do Ministério Público,2018-08-19,1039.5172413793102,-53.53122475915825,-0.89
CNMP - Conselho Nacional do Ministério Público,2018-08-26,984.6304347826087,-108.41803135585974,-1.81
CNMP - Conselho Nacional do Ministério Público,2018-09-02,1050.9462365591398,-42.10222957932865,-0.7
