Estação de origem,Estação de Destino,contagem_viagens,contagem_acumulada,rank,freq_acumulada
EQN 104/105,INMETRO,71,24288,150,52.4341011636191
SQN 205,PAT,71,24359,151,52.58737937436584
CLN 403,ICC Sul,71,24430,152,52.74065758511258
EQS 202 / 203,EQS 204/205,70,24500,153,52.891776947820645
Rodoviária 2,CNMP - Conselho Nacional do Ministério Público,70,24570,154,53.0428963105287
Galeria,SRTVS,70,24640,155,53.19401567323676
Biblioteca Central,Instituto de Artes,69,24709,156,53.34297618790613
CLN 403,EQN 408/409,69,24778,157,53.4919367025755
Biblioteca Central,ICC Sul,69,24847,158,53.64089721724488
ICC Sul,EQN 410/411,68,24915,159,53.78769888387557
Rodoviária 3,Centro de Convenções,68,24983,160,53.93450055050625
PAT,Biblioteca Central,68,25051,161,54.08130221713694
Galeria,Brasil 21,68,25119,162,54.228103883767616
Shopping Pátio Brasil,Brasil 21,67,25186,163,54.37274670235962
SAS,Rodoviária 2,67,25253,164,54.51738952095162
Centro de Convenções,Brasil 21,67,25320,165,54.66203233954362
EQN 104/105,Instituto de Artes,67,25387,166,54.80667515813562
Rodoviária 2,ICC Sul,66,25453,167,54.949159128688926
CLN 204,CLN 403,66,25519,168,55.09164309924225
Ministério da Saude,Ministério da Saude,65,25584,169,55.231968221756865
EQS 204/205,EQS 202 / 203,65,25649,170,55.3722933442715
Shopping Pátio Brasil,Rodoviária 2,65,25714,171,55.51261846678612
Ministério da Cultura,Rodoviária 3,65,25779,172,55.652943589300754
Rodoviária 3,STF,64,25843,173,55.79110986377669
SQN 205,CLN 204,64,25907,174,55.929276138252625
Brasília Shopping,Brasília Shopping,64,25971,175,56.06744241272856
Torre de TV,Rodoviária 2,62,26033,176,56.20129099112714
Brasília Shopping,Rodoviária,62,26095,177,56.33513956952571
Centro Olímpico,EQN 408/409,62,26157,178,56.46898814792427
EQN 104/105,CLN 406,62,26219,179,56.602836726322835
SRTVS,Rodoviária 3,62,26281,180,56.736685304721405
ICC Sul,Rodoviária,62,26343,181,56.87053388311997
CLN 403,EQN 410/411,61,26404,182,57.00222361347985
Brasil 21,Torre de TV,60,26464,183,57.13175449580105
Rodoviária 2,Rodoviária 2,60,26524,184,57.26128537812223
Shopping Pátio Brasil,Rodoviária,59,26583,185,57.38865741240474
EQN 408/409,Biblioteca Central,59,26642,186,57.51602944668724
SQN 205,EQN 410/411,59,26701,187,57.64340148096976
Rodoviária 2,CLN 406,59,26760,188,57.77077351525226
Ministério do Planejamento,Rodoviária 2,58,26818,189,57.895986701496085
Rodoviária 3,Catedral Metropolitana,58,26876,190,58.021199887739904
Rodoviária 3,Ministério dos Transportes,58,26934,191,58.14641307398373
Rodoviária 2,Rodoviária,57,26991,192,58.26946741218886
CLN 403,Rodoviária,57,27048,193,58.39252175039399
CLN 204,EQN 410/411,56,27104,194,58.513417240560436
EQN 410/411,Biblioteca Central,56,27160,195,58.63431273072689
Liberty Mall,W2/EQN305/306,56,27216,196,58.75520822089333
SQN 205,CLN 406,56,27272,197,58.87610371105978
Setor Hoteleiro Norte,Rodoviária,55,27327,198,58.99484035318754
Banco Central,EQS 204/205,55,27382,199,59.1135769953153
SQS 305,102 Sul,55,27437,200,59.232313637443056
