Estação de origem,Estação de Destino,contagem_viagens
EQN 408/409,SQN 205,35
EQN 408/409,SQS 305,2
EQN 408/409,STF,2
EQN 408/409,Setor Hoteleiro Norte,4
EQN 408/409,Shopping Pátio Brasil,6
EQN 408/409,TSE,6
EQN 408/409,Torre de TV,4
EQN 408/409,W2/EQN305/306,17
EQN 410/411,102 Sul,1
EQN 410/411,Banco Central,8
EQN 410/411,Biblioteca Central,56
EQN 410/411,Brasil 21,4
EQN 410/411,Brasília Shopping,5
EQN 410/411,CLN 204,41
EQN 410/411,CLN 403,43
EQN 410/411,CLN 406,264
EQN 410/411,CNMP - Conselho Nacional do Ministério Público,2
EQN 410/411,Catedral Metropolitana,7
EQN 410/411,Centro Olímpico,48
EQN 410/411,Centro de Convenções,3
EQN 410/411,EQN 104/105,11
EQN 410/411,EQN 408/409,227
EQN 410/411,EQN 410/411,320
EQN 410/411,EQS 202 / 203,4
EQN 410/411,EQS 204/205,5
EQN 410/411,Galeria,8
EQN 410/411,ICC Sul,85
EQN 410/411,INMETRO,7
EQN 410/411,Instituto de Artes,275
EQN 410/411,Liberty Mall,11
EQN 410/411,Memorial JK,6
EQN 410/411,Ministério da Cultura,7
EQN 410/411,Ministério da Saude,14
EQN 410/411,Ministério do Planejamento,7
EQN 410/411,Ministério dos Transportes,8
EQN 410/411,PAT,120
EQN 410/411,Rodoviária,39
EQN 410/411,Rodoviária 2,12
EQN 410/411,Rodoviária 3,3
EQN 410/411,SAS,2
EQN 410/411,SQN 205,49
EQN 410/411,SQS 305,4
EQN 410/411,STF,11
EQN 410/411,Shopping Mall,2
EQN 410/411,Shopping Pátio Brasil,3
EQN 410/411,TSE,1
EQN 410/411,Torre de TV,8
EQN 410/411,W2/EQN305/306,11
EQS 104/304,102 Sul,55
EQS 104/304,Banco Central,12
EQS 104/304,Brasil 21,12
EQS 104/304,Brasília Shopping,3
EQS 104/304,CLN 204,2
EQS 104/304,CLN 406,2
EQS 104/304,CNMP - Conselho Nacional do Ministério Público,2
EQS 104/304,Catedral Metropolitana,4
EQS 104/304,Centro de Convenções,1
EQS 104/304,EQN 408/409,1
EQS 104/304,EQS 104/304,73
EQS 104/304,EQS 202 / 203,37
EQS 104/304,EQS 204/205,5
EQS 104/304,Galeria,20
EQS 104/304,ICC Sul,1
EQS 104/304,Instituto de Artes,2
EQS 104/304,Liberty Mall,1
EQS 104/304,Memorial JK,2
EQS 104/304,Ministério da Cultura,6
EQS 104/304,Ministério da Defesa,6
EQS 104/304,Ministério da Saude,10
EQS 104/304,Ministério do Planejamento,2
EQS 104/304,Ministério dos Transportes,7
EQS 104/304,PAT,3
EQS 104/304,Praça Buriti,5
EQS 104/304,Praça do Povo,7
EQS 104/304,Rodoviária,16
EQS 104/304,Rodoviária 2,10
EQS 104/304,Rodoviária 3,7
EQS 104/304,SAS,4
EQS 104/304,SQN 205,2
EQS 104/304,SQS 305,41
EQS 104/304,SRTVS,18
EQS 104/304,STF,2
EQS 104/304,Setor Hoteleiro Norte,5
EQS 104/304,Shopping Mall,19
EQS 104/304,Shopping Pátio Brasil,10
EQS 104/304,TSE,1
EQS 104/304,Torre de TV,2
EQS 104/304,W2/EQN305/306,2
EQS 202 / 203,102 Sul,11
EQS 202 / 203,Banco Central,31
EQS 202 / 203,Brasil 21,10
EQS 202 / 203,Brasília Shopping,3
EQS 202 / 203,CLN 204,2
EQS 202 / 203,CLN 403,5
EQS 202 / 203,CLN 406,6
EQS 202 / 203,CNMP - Conselho Nacional do Ministério Público,17
EQS 202 / 203,Catedral Metropolitana,8
EQS 202 / 203,Centro de Convenções,2
EQS 202 / 203,EQN 104/105,2
EQS 202 / 203,EQN 408/409,2
EQS 202 / 203,EQN 410/411,2
EQS 202 / 203,EQS 104/304,24
EQS 202 / 203,EQS 202 / 203,101
EQS 202 / 203,EQS 204/205,70
EQS 202 / 203,Galeria,6
EQS 202 / 203,ICC Sul,5
EQS 202 / 203,INMETRO,2
EQS 202 / 203,Instituto de Artes,10
EQS 202 / 203,Liberty Mall,14
EQS 202 / 203,Memorial JK,1
EQS 202 / 203,Ministério da Cultura,10
EQS 202 / 203,Ministério da Defesa,10
EQS 202 / 203,Ministério da Saude,5
EQS 202 / 203,Ministério do Planejamento,8
EQS 202 / 203,Ministério dos Transportes,2
EQS 202 / 203,PAT,1
EQS 202 / 203,Praça do Povo,3
EQS 202 / 203,Rodoviária,19
EQS 202 / 203,Rodoviária 2,35
EQS 202 / 203,Rodoviária 3,5
EQS 202 / 203,SAS,18
EQS 202 / 203,SQN 205,3
EQS 202 / 203,SQS 305,19
EQS 202 / 203,SRTVS,18
EQS 202 / 203,STF,4
EQS 202 / 203,Shopping Mall,20
EQS 202 / 203,Shopping Pátio Brasil,1
EQS 202 / 203,TSE,40
EQS 202 / 203,W2/EQN305/306,9
EQS 204/205,102 Sul,44
EQS 204/205,Banco Central,53
EQS 204/205,Brasil 21,11
EQS 204/205,Brasília Shopping,16
EQS 204/205,CLN 204,1
EQS 204/205,CLN 403,11
EQS 204/205,CLN 406,1
EQS 204/205,CNMP - Conselho Nacional do Ministério Público,2
EQS 204/205,Catedral Metropolitana,12
EQS 204/205,Centro de Convenções,1
EQS 204/205,Deck Sul,3
EQS 204/205,EQN 104/105,2
EQS 204/205,EQN 408/409,1
EQS 204/205,EQN 410/411,2
EQS 204/205,EQS 104/304,17
EQS 204/205,EQS 202 / 203,65
EQS 204/205,EQS 204/205,219
EQS 204/205,Galeria,3
EQS 204/205,ICC Sul,2
EQS 204/205,INMETRO,4
EQS 204/205,Instituto de Artes,4
EQS 204/205,Liberty Mall,21
EQS 204/205,Ministério da Cultura,10
EQS 204/205,Ministério da Defesa,11
EQS 204/205,Ministério da Saude,10
EQS 204/205,Ministério do Planejamento,1
EQS 204/205,Ministério dos Transportes,2
EQS 204/205,PAT,1
EQS 204/205,Praça do Povo,5
EQS 204/205,Rodoviária,19
EQS 204/205,Rodoviária 2,23
EQS 204/205,Rodoviária 3,3
EQS 204/205,SAS,44
EQS 204/205,SQN 205,6
EQS 204/205,SQS 305,27
EQS 204/205,SRTVS,8
EQS 204/205,STF,6
EQS 204/205,Setor Hoteleiro Norte,5
EQS 204/205,Shopping Mall,32
EQS 204/205,Shopping Pátio Brasil,8
EQS 204/205,TSE,7
EQS 204/205,Torre de TV,5
EQS 204/205,W2/EQN305/306,5
Galeria,102 Sul,35
Galeria,Banco Central,23
Galeria,Biblioteca Central,3
Galeria,Brasil 21,68
Galeria,Brasília Shopping,23
Galeria,CLN 204,3
Galeria,CLN 403,26
Galeria,CLN 406,2
Galeria,CNMP - Conselho Nacional do Ministério Público,25
Galeria,Catedral Metropolitana,3
Galeria,Centro Olímpico,3
Galeria,Centro de Convenções,13
Galeria,Deck Sul,5
Galeria,EQN 104/105,5
Galeria,EQN 408/409,7
Galeria,EQN 410/411,7
Galeria,EQS 104/304,48
Galeria,EQS 202 / 203,8
Galeria,EQS 204/205,38
Galeria,Galeria,76
Galeria,ICC Sul,4
Galeria,INMETRO,4
Galeria,Instituto de Artes,8
Galeria,Liberty Mall,27
Galeria,Memorial JK,11
Galeria,Ministério da Cultura,10
Galeria,Ministério da Defesa,28
Galeria,Ministério da Saude,4
