rank,freq_acumulada
1,2.797867058137778
2,4.179529802897174
3,5.524492130998899
4,6.791735929707908
5,7.817188748084022
6,8.805941149802464
7,9.641415340774163
8,10.45745989939768
9,11.25407482567302
10,11.94490619805272
11,12.635737570432418
12,13.233738477148593
13,13.829580535826084
14,14.423263746464887
15,15.006152716910256
16,15.58688283931694
17,16.161136417607562
18,16.731072299820816
19,17.301008182034067
20,17.810496319164095
21,18.311349064139375
22,18.812201809114658
23,19.308736858012566
24,19.800954210833098
25,20.291012715614947
26,20.763800436087305
27,21.227952764404915
28,21.692105092722525
29,22.12819239653721
30,22.555644308197145
31,22.97446082770234
32,23.388959651130158
33,23.792664234364544
34,24.19636881759893
35,24.59575570475594
36,24.99082489583558
37,25.37941754279916
38,25.761533645646683
39,26.13933205241683
40,26.510653915070918
41,26.881975777725003
42,27.24897994430172
43,27.613825262839747
44,27.97867058137778
45,28.330562811683684
46,28.67813734591222
47,29.023553032102072
48,29.364651022214545
49,29.697113620172278
50,30.029576218130003
51,30.355562271971674
52,30.67938947777466
53,30.99889898750027
54,31.316249649187196
55,31.63144146283543
56,31.942315580406294
57,32.253189697977156
58,32.564063815548025
59,32.870620237041514
60,33.17501781049632
61,33.47725653591244
62,33.77517756525118
63,34.07309859458993
64,34.36238423177392
65,34.651669868957924
66,34.938796658103236
67,35.22592344724855
68,35.504414844239115
69,35.78074739319099
70,36.050603398026816
71,36.31614170678526
72,36.581680015543704
73,36.84721832430215
74,37.10843893698323
75,37.3696595496643
76,37.63088016234537
77,37.88994192698776
78,38.14684484359146
79,38.40158891215648
80,38.65633298072149
81,38.906759353209125
82,39.15502687765808
83,39.401135554068354
84,39.64724423047862
85,39.884717514734135
86,40.12219079898966
87,40.35750523520649
88,40.59281967142333
89,40.82597525960148
90,41.05913084777962
91,41.2879687398804
92,41.514647783942486
93,41.73916797996589
94,41.9636881759893
95,42.186049523974006
96,42.40625202392004
97,42.624295675827376
98,42.84233932773472
99,43.05822413160338
100,43.274108935472036
101,43.48567604326332
102,43.6972431510546
103,43.90881025884588
104,44.118218518598475
105,44.32762677835107
106,44.53703503810367
107,44.74428444981758
108,44.95153386153149
109,45.154465577168025
110,45.355238444765874
111,45.55601131236372
112,45.75678417996157
113,45.95539819952074
114,46.15185337104121
115,46.34830854256169
116,46.544763714082166
117,46.73906003756396
118,46.933356361045746
119,47.12549383648885
120,47.317631311931954
121,47.50760993933637
122,47.6954297187021
123,47.881090650029144
124,48.066751581356186
125,48.250253664644546
126,48.42943805185553
127,48.608622439066515
128,48.78564797823881
129,48.96267351741111
130,49.13969905658341
131,49.31672459575571
132,49.49375013492801
133,49.668616826061616
134,49.84132466915654
135,50.01403251225146
136,50.184581507307705
137,50.35513050236394
138,50.523520649381496
139,50.68975194836035
140,50.85598324733922
141,51.0200556982794
142,51.181969301180885
143,51.343882904082385
144,51.5014788109065
145,51.659074717730626
146,51.81667062455474
147,51.97210768334018
148,52.1275447421256
149,52.280822952872356
150,52.4341011636191
151,52.58737937436584
152,52.74065758511258
153,52.891776947820645
154,53.0428963105287
155,53.19401567323676
156,53.34297618790613
157,53.4919367025755
158,53.64089721724488
159,53.78769888387557
160,53.93450055050625
161,54.08130221713694
162,54.228103883767616
163,54.37274670235962
164,54.51738952095162
